sess	T	C	R	O	M
6					
6	54.158				
6					
6					
6					
6					
6					
6				57.761	
6					
6					
6					
6					
6					
6					
6					
6					
6					
6					
6					
6	64.968				
6					
6					
6	66.769				
6					
6					
6					
6					
6		69.772			
6					
6					
6					
6	71.657				
6					
6					
6					
6					
6					
6					
6					
6					
6					
6				77.663	
6					
6					
6	79.465				
6					
6					
6					
6			81.867		
6					
6					
6					
6					
6					
6					
6					
6					
6					
6					
6					
6	88.573				
6					
6					
6					
6					
6					
6					
6					
6					
6					
6			94.562		
6					
6					
6					
6					
6					
6					
6				98.265	
6					
6					
6					
6	100.668				
6					
6					
6	102.469				
6					
6					
6					
6					
6					
6					
6					
6					
6					
6					
6					
6			109.659		
6					
6					
6					
6				111.561	
6					
6					
6					
6					
6				114.564	
6					
6					
6					
6					
6					
6					
6					
6					
6					
6					
6		121.17			
6					
6					
6					
6					
6				123.672	
6					
6					
6	125.457				
6					
6					
6					
6					
6	128.46				
6					
6					
6			130.262		
6					
6					
6					
6					
6					
6					
6					
6					
6		135.166			
6					
6					
6					
6				137.068	
6					
6					
6					
6					
